,high,low,open,volumefrom,volumeto,close,market_cap,progression daily,progression tomorrow,target,ema_26,ema_12,macd,rsi,relative_volume,obv,atr,bollinger_upper,bollinger_lower,k,momentum,difficulty
2011-01-01,0.3,0.292,0.3,2821.24,841.95,0.3,,0.0,0.0,0,0.2516281306472833,0.2722154221915761,0.020587291544292785,75.04173622704506,0.43346801255175504,5683.56,0.018135714285714293,0.30259703861389925,0.2097629613861008,98.36065573770492,0.06,
2011-01-02,0.3,0.289,0.3,5352.11,1584.66,0.3,,0.0,0.0,0,0.25521123208081786,0.2764899726236413,0.021278740542823416,74.83164983164983,0.7842028576700467,4098.900000000001,0.01821428571428572,0.30725278127370537,0.21310721872629457,98.36065573770492,0.04999999999999999,
2011-01-03,0.3,0.29,0.3,1425.19,420.85,0.295,,0.0,-0.01666666666666672,0,0.25852891859334987,0.28010689991231186,0.021577981318961992,75.40288379983035,0.2271256285862423,3678.0500000000006,0.016428571428571435,0.31169448480851414,0.21567551519148584,98.36065573770492,0.04999999999999999,
2011-01-04,0.2999,0.289,0.295,1879.0,548.33,0.2989,,-0.01666666666666672,0.013220338983050972,1,0.26123048017902767,0.2823981460796485,0.021167665900620858,64.58333333333331,0.31724624726264966,3129.7200000000007,0.015285714285714291,0.31535512530103904,0.21684487469896094,90.1639344262295,0.046999999999999986,
2011-01-05,0.299,0.29,0.2989,357.16,106.19,0.299,,0.013220338983050972,0.00033456005352960894,1,0.26402081498058116,0.28493689283662565,0.02091607785604449,90.39780521262003,0.0636563091963512,3235.9100000000008,0.014000000000000004,0.3187705404035095,0.21931945959649043,96.50000000000001,0.04899999999999999,
2011-01-06,0.299,0.29,0.299,3456.49,1031.28,0.298,,0.00033456005352960894,-0.0033444816053511683,0,0.26661186572276036,0.28710044778483707,0.02048858206207671,88.88888888888889,0.6496246122613163,4267.1900000000005,0.013928571428571433,0.32209046370346284,0.2208995362965371,96.61016949152543,0.033999999999999975,
2011-01-07,0.322,0.2975,0.298,42601.12,13152.15,0.32,,-0.0033444816053511683,0.0738255033557047,1,0.2689369127062596,0.2887773019717852,0.019840389265525615,87.49999999999999,5.39573487214111,-8884.96,0.015107142857142862,0.32402926129939735,0.22476073870060267,68.25396825396822,0.032999999999999974,
2011-01-08,0.3229,0.309,0.32,1629.44,512.04,0.3229,,0.0738255033557047,0.009062499999999973,1,0.272719363616907,0.2935807939761259,0.02086143035921889,92.85714285714285,0.2080151542058841,-8372.919999999998,0.016707142857142865,0.3293443797691905,0.2273456202308095,96.20915032679737,0.03899999999999998,
2011-01-09,0.323,0.3229,0.3229,1691.37,546.18,0.323,,0.009062499999999973,0.0003096934035304866,1,0.2764364477934324,0.2980914410567219,0.021654993263289513,92.94117647058823,0.24822438789710843,-7826.739999999998,0.015235714285714293,0.33385389392577874,0.23111610607422123,99.86111111111113,0.02290000000000003,
2011-01-10,0.329,0.3175,0.323,10355.83,3360.65,0.3266,,0.0003096934035304866,0.011145510835913308,1,0.2798855998087337,0.30192352704799547,0.02203792723926179,91.42857142857142,1.4302651102571577,-4466.089999999998,0.014621428571428579,0.33914447700412537,0.23142552299587463,91.1504424778761,0.02300000000000002,
2011-01-11,0.3266,0.3176,0.3266,4857.8,1578.66,0.3266,,0.011145510835913308,0.0,0,0.2833459257488275,0.30571990750215,0.022373981753322503,91.84782608695652,0.7309807657007348,-2887.4299999999985,0.013850000000000005,0.3420508766294104,0.2371791233705895,95.86206896551722,0.026600000000000013,
2011-01-12,0.3557,0.318,0.3266,31359.77,10508.17,0.3188,,0.0,-0.023882424984690842,0,0.28654993124891437,0.3089322294248961,0.022382298175981752,89.58333333333331,4.158184958678013,-13395.599999999999,0.013971428571428579,0.3448779190100538,0.2420120809899462,56.37181409295352,0.026600000000000013,
2011-01-13,0.405,0.3176,0.3188,20118.9,7147.03,0.3176,,-0.023882424984690842,-0.0037641154328732496,0,0.28893882523047626,0.3104503479749121,0.02151152274443585,70.25862068965513,2.3956574850035603,-20542.629999999997,0.01885714285714287,0.3451913153765962,0.2485786846234037,25.68965517241378,0.018799999999999983,
2011-01-14,0.45,0.3176,0.3176,27130.96,10691.11,0.4,,-0.0037641154328732496,0.2594458438287155,1,0.291061875213404,0.31155029444031024,0.02048841922690625,68.48739495798318,2.876757593084659,-31233.739999999998,0.027742857142857156,0.3436055401884562,0.2571244598115438,17.763975155279507,0.02260000000000001,
2011-01-15,0.4,0.385,0.4,1515.66,591.15,0.3861,,0.2594458438287155,-0.03475000000000006,0,0.299131365938337,0.3251579414494933,0.02602657551115628,88.46153846153845,0.15983676606773667,-30642.589999999997,0.033057142857142875,0.36431783712233357,0.2514221628776664,68.944099378882,0.10110000000000002,
2011-01-16,0.4,0.386,0.3861,2778.71,1085.16,0.3868,,-0.03475000000000006,0.0018130018130018133,1,0.3055734869799417,0.33453364276495584,0.028960155785014152,79.91660875608059,0.2962665967224368,-31727.749999999996,0.033271428571428584,0.3766424742711105,0.25120752572888955,60.310559006211186,0.08710000000000001,
2011-01-17,0.3868,0.315,0.3868,18241.15,6360.69,0.3495,,0.0018130018130018133,-0.09643226473629785,0,0.31159026572216825,0.3425746208011165,0.030984355078948256,80.01383125864452,1.5563009983258995,-25367.059999999998,0.0376857142857143,0.3862830132412871,0.2537469867587129,60.74534161490682,0.08879999999999999,
2011-01-18,0.3495,0.305,0.3495,15671.51,4950.51,0.313,,-0.09643226473629785,-0.10443490701001423,0,0.31439839418719284,0.3436400637547909,0.02924166956759805,65.40418315432447,1.1247330251373842,-30317.57,0.04274285714285715,0.3882830785982999,0.2585969214017001,37.18749999999999,0.02949999999999997,
2011-01-19,0.313,0.305,0.313,7291.63,2247.62,0.313,,-0.10443490701001423,0.0,0,0.314294809432586,0.33892620779251537,0.02463139835992939,53.36515513126491,0.4934989900003764,-32565.19,0.04527857142857144,0.38820023072966253,0.25997976927033745,14.37500000000001,-0.00990000000000002,
2011-01-20,0.39,0.31,0.313,19881.98,6900.05,0.39,,0.0,0.2460063897763578,1,0.3141988976227648,0.3349375604398207,0.020738662817055886,53.34288443170965,1.3873197879627759,-39465.24,0.050350000000000006,0.3880808291039751,0.2613991708960248,10.163934426229515,-0.010000000000000009,
2011-01-21,0.44,0.368,0.39,8477.55,3351.62,0.4199,,0.2460063897763578,0.07666666666666666,1,0.31981379409515265,0.3434087049875406,0.023594910892387966,66.1177295024527,0.7842583666161684,-36113.619999999995,0.05767142857142858,0.3977567486247363,0.26072325137526364,58.62068965517242,0.06340000000000001,
2011-01-22,0.4443,0.39,0.4199,10534.27,4513.91,0.4443,,0.07666666666666666,0.05810907358894979,1,0.32722758712514133,0.35517659652791894,0.027949009402777614,67.03034435731334,0.9900086961957159,-31599.709999999995,0.05977142857142857,0.41329644071381105,0.25717355928618896,79.24137931034481,0.0933,
2011-01-23,0.4443,0.42,0.4443,1148.4,505.83,0.4424,,0.05810907358894979,-0.0042763898266935385,0,0.3358996177084642,0.36888788936977757,0.03298827166131335,69.28208386277001,0.11101082013839944,-31093.879999999994,0.06130000000000001,0.43254596053799094,0.2523540394620091,96.06896551724135,0.1255,
2011-01-24,0.4424,0.381,0.4424,11061.94,4516.68,0.4199,,-0.0042763898266935385,-0.05085895117540695,0,0.34378853491524464,0.3801974448513502,0.03640890993610557,68.85660138976627,0.9735994182439881,-35610.56,0.06499999999999999,0.4473788912562969,0.25226110874370317,94.75862068965517,0.12480000000000002,
2011-01-25,0.425,0.4,0.4199,2163.72,901.25,0.41,,-0.05085895117540695,-0.02357704215289358,0,0.3494264212178191,0.3863055302588348,0.03687910904101571,63.90461997019374,0.19631782903521633,-36511.81,0.06738571428571428,0.45512571652634404,0.256614283473656,79.24137931034481,0.019899999999999973,
